REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,76600,E,,,0
2015-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,72240,A,,,0
2015-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,64725,A,,,0
2015-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,51020,A,,,0
2016-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,39280,A,,,0
2016-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,42615,A,,,0
2016-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,44430,A,,,0
2016-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,42665,A,,,0
2017-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,42920,A,,,0
2017-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,51200,A,,,0
2017-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,53900,A,,,0
2017-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,51475,A,,,0
2018-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,50670,A,,,0
2018-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,60025,A,,,0
2018-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,58945,A,,,0
2018-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,55190,A,,,0
2019-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,49840,A,,,0
2019-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,60045,A,,,0
2019-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,52915,A,,,0
2019-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,45490,A,,,0
2020-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,48435,A,,,0
2020-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,44780,A,,,0
2021-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,50415,A,,,0
2021-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,68985,A,,,0
2021-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,86315,A,,,0
2021-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,85835,A,,,0
2022-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,88230,A,,,0
2022-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,107850,A,,,0
2022-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,103495,A,,,0
2022-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,93215,A,,,0
2023-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,86665,A,,,0
2023-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,94150,A,,,0
2023-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,89835,A,,,0
2023-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,77500,A,,,0
2024-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,71845,A,,,0
2024-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,75825,A,,,0
2024-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,73525,A,,,0
2024-10,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,62595,A,,,0
2025-01,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,58175,A,,,0
2025-04,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,68715,A,,,0
2025-07,Alberta,2021A000248,"Total, all industries",Job vacancies,Number,223,units,0,v1568393522,10.1.1,62400,A,,,0
2015-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2014760,E,,,0
2015-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1987000,A,,,0
2015-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1987670,A,,,0
2015-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1991030,A,,,0
2016-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1936450,A,,,0
2016-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1906265,A,,,0
2016-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1917145,A,,,0
2016-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1922520,A,,,0
2017-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1899710,A,,,0
2017-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1898985,A,,,0
2017-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1946215,A,,,0
2017-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1962540,A,,,0
2018-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1929900,A,,,0
2018-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1934035,A,,,0
2018-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1957405,A,,,0
2018-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1973460,A,,,0
2019-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1952275,A,,,0
2019-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1949790,A,,,0
2019-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1980735,A,,,0
2019-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1993350,A,,,0
2020-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1952270,A,,,0
2020-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1805340,A,,,0
2021-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1768220,A,,,0
2021-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1800140,A,,,0
2021-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1866795,A,,,0
2021-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1910960,A,,,0
2022-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1902230,A,,,0
2022-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1933410,A,,,0
2022-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1985470,A,,,0
2022-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2007845,A,,,0
2023-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,1999585,A,,,0
2023-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2020890,A,,,0
2023-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2059125,A,,,0
2023-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2070975,A,,,0
2024-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2040530,A,,,0
2024-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2058135,A,,,0
2024-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2092450,A,,,0
2024-10,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2106285,A,,,0
2025-01,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2081365,A,,,0
2025-04,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2085190,A,,,0
2025-07,Alberta,2021A000248,"Total, all industries",Payroll employees,Number,223,units,0,v1568393523,10.1.3,2124240,A,,,0
2015-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3.7,E,,,1
2015-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3.5,A,,,1
2015-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3.2,A,,,1
2015-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.5,A,,,1
2016-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2,A,,,1
2016-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.2,A,,,1
2016-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.3,A,,,1
2016-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.2,A,,,1
2017-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.2,A,,,1
2017-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.6,A,,,1
2017-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.7,A,,,1
2017-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.6,A,,,1
2018-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.6,A,,,1
2018-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3,A,,,1
2018-07,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.9,A,,,1
2018-10,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.7,A,,,1
2019-01,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,2.5,A,,,1
2019-04,Alberta,2021A000248,"Total, all industries",Job vacancy rate,Percent,239,units,0,v1568393524,10.1.4,3,A,,,1
